,t_vals,flux_ratio_vals
0,100,2644.9206657872514
1,105,1795.7134051553378
2,110,1262.6014857253608
3,115,915.1758876126925
4,120,681.2225860309342
5,125,519.0671571399336
6,130,403.76387200954053
7,135,319.8864138736127
8,140,257.61311994296636
9,145,210.52463423376912
10,150,174.32478653795405
11,155,146.07593505678489
12,160,123.72971258414978
13,165,105.83208591336589
14,170,91.33387369802635
15,175,79.46654322723082
16,180,69.65927505499033
17,185,61.48262834410643
18,190,54.60966394321
19,195,48.78871761660278
20,200,43.82406946242751
21,205,39.56204318190964
22,210,35.88089002486018
23,215,32.68334428943252
24,220,29.891087143070017
25,225,27.440588854704966
26,230,25.27995717114722
27,235,23.366527402600997
28,240,21.66500440528227
29,245,20.146018861051243
30,250,18.784997167053003
31,255,17.561270603527113
32,260,16.457368441484125
33,265,15.458453462023439
34,270,14.551868485273197
35,275,13.726769991752944
36,280,12.973830493840968
37,285,12.284995497722981
38,290,11.65328405628948
39,295,11.072624316883909
40,300,10.537717307423343
41,305,10.043923621087357
42,310,9.587168757124449
43,315,9.163863730104811
44,320,8.77083822936339
45,325,8.405284137335599
46,330,8.064707632369677
47,335,7.746888432973738
48,340,7.449845005074054
49,345,7.171804766107315
50,350,6.911178490736454
51,355,6.666538261261922
52,360,6.436598418091213
53,365,6.22019905716354
54,370,6.016291696117303
55,375,5.823926792480833
56,380,5.642242847833388
57,385,5.470456873769403
58,390,5.307856030238469
59,395,5.153790275736026
60,400,5.007665892939273
61,405,4.8689397735701245
62,410,4.737114363211392
63,415,4.611733181064372
64,420,4.492376841672195
65,425,4.378659515818075
66,430,4.27022577644701
67,435,4.166747782806628
68,440,4.067922762265653
69,445,3.9734707546193833
70,450,3.8831325882740764
71,455,3.7966680616346453
72,460,3.7138543064026526
73,465,3.634484312406723
74,470,3.558365596105176
75,475,3.4853189970793004
76,480,3.415177588724581
77,485,3.3477856909879136
78,490,3.282997974426764
79,495,3.2206786461109096
80,500,3.1607007089746197
81,505,3.102945287178025
82,510,3.0473010108698304
83,515,2.993663454474885
84,520,2.9419346232730894
85,525,2.8920224836022514
86,530,2.8438405325166083
87,535,2.7973074031736127
88,540,2.7523465026113714
89,545,2.708885678924389
90,550,2.6668569151514743
91,555,2.6261960474615362
92,560,2.5868425054648196
93,565,2.5487390726923915
94,570,2.511831665478618
95,575,2.4760691286527154
96,580,2.441403046598546
97,585,2.4077875683788283
98,590,2.3751792457426943
99,595,2.3435368829455516
100,600,2.3128213974090754
101,605,2.28299569033797
102,610,2.2540245264900625
103,615,2.2258744223683258
104,620,2.1985135421683233
105,625,2.171911600873184
106,630,2.1460397739411667
107,635,2.1208706130787776
108,640,2.0963779676357084
109,645,2.072536911197231
110,650,2.0493236729852375
111,655,2.0267155737115057
112,660,2.004690965556159
113,665,1.9832291759709961
114,670,1.962310455031735
115,675,1.9419159260853365
116,680,1.922027539458823
117,685,1.9026280290144173
118,690,1.8837008713526793
119,695,1.8652302474807243
120,700,1.847201006776648
121,705,1.8295986330942247
122,710,1.8124092128636822
123,715,1.7956194050552547
124,720,1.779216412882078
125,725,1.7631879571281557
126,730,1.7475222509954622
127,735,1.732207976371981
128,740,1.7172342614295337
129,745,1.7025906594667883
130,750,1.6882671289188507
131,755,1.674254014460353
132,760,1.6605420291341024
133,765,1.647122237442027
134,770,1.633986039339535
135,775,1.6211251550784305
136,780,1.6085316108472272
137,785,1.5961977251611676
138,790,1.5841160959574307
139,795,1.5722795883539764
140,800,1.5606813230331897
141,805,1.5493146652140506
142,810,1.5381732141788993
143,815,1.5272507933230441
144,820,1.516541440697519
145,825,1.5060394000171466
146,830,1.4957391121078558
147,835,1.4856352067688103
148,840,1.4757224950264376
149,845,1.4659959617588598
150,850,1.4564507586705508
151,855,1.447082197598266
152,860,1.4378857441304513
153,865,1.4288570115233952
154,870,1.4199917548983967
155,875,1.4112858657051546
156,880,1.4027353664374442
157,885,1.3943364055879883
158,890,1.3860852528301582
159,895,1.377978294414892
160,900,1.3700120287718485
161,905,1.3621830623044715
162,910,1.3544881053692057
163,915,1.3469239684296663
164,920,1.339487558377074
165,925,1.3321758750087473
166,930,1.3249860076569169
167,935,1.3179151319605167
