SOURCE_ID,RA,DEC,RA_ERROR,DEC_ERROR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_FLUX_OVER_ERROR,PHOT_G_N_OBS,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_FLUX_OVER_ERROR,PHOT_BP_N_OBS,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_FLUX_OVER_ERROR,PHOT_RP_N_OBS,ASTROMETRIC_WEIGHT_AL,ASTROMETRIC_N_OBS_AL,ASTROMETRIC_N_GOOD_OBS_AL,ASTROMETRIC_EXCESS_NOISE,ASTROMETRIC_EXCESS_NOISE_SIG,DUPLICATED_SOURCE,REF_EPOCH,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PHOT_VARIABLE_FLAG,A_G_VAL,E_BP_MIN_RP_VAL
4472826878189931136,269.7129947518249,4.758501462296158,0.0405264,0.0527101,15.1468,2035.68,116,15.5126,252.968,13,14.6134,554.280,13,14.3548,118,117,0.142584,1.87309,"F",2015.50,0.509434,0.0607963,-1.25825,0.0873087,2.56526,0.0826408,"F",NaN,NaN
4472820968314929920,269.6936590647973,4.734334843782816,0.0365171,0.0650515,14.9837,1916.40,115,15.8204,358.084,13,14.0905,256.505,12,24.5572,117,116,0.00000,0.00000,"F",2015.50,0.0262629,0.0741987,-2.93295,0.0705360,-6.59574,0.0695274,"F",NaN,NaN
4472859554300890496,269.1986555058948,4.722875266607167,0.0411770,0.0425386,15.3229,1864.21,119,15.8330,322.792,13,14.6657,393.041,14,15.8591,120,120,0.00000,0.00000,"F",2015.50,0.558308,0.0484751,-4.04496,0.0776667,0.0891314,0.0759382,"F",NaN,NaN
4472823304777089024,269.7806749524610,4.703742912587757,0.0410604,0.0505415,15.4108,1458.00,132,15.9504,224.605,13,14.7223,443.726,13,15.9582,133,130,0.00000,0.00000,"F",2015.50,0.399981,0.0583600,-1.12699,0.0834015,-7.65339,0.0731953,"F",NaN,NaN
4472860104056704000,269.2459364016354,4.762162839149605,0.0374224,0.0415320,15.0872,1788.51,123,15.5773,423.469,14,14.4415,541.475,13,20.5857,123,123,0.00000,9.25048e-16,"F",2015.50,1.32058,0.0433502,3.06674,0.0697678,-17.4674,0.0709887,"F",NaN,NaN
4472859726099582848,269.2326457918800,4.756852594501419,0.0337030,0.0338946,14.7147,2191.95,122,15.2378,439.360,13,14.0414,759.045,13,29.4237,123,122,0.00000,0.00000,"F",2015.50,1.52521,0.0405595,-4.82521,0.0601530,-17.9159,0.0597956,"F",0.656300,0.331000
4472841618517780480,269.6303907708673,4.882017010394376,0.0251452,0.0281818,14.1676,3396.89,129,14.5010,393.059,12,13.6730,633.521,13,50.7919,129,129,0.00000,0.00000,"F",2015.50,0.832789,0.0322738,-0.296991,0.0532988,6.90288,0.0527254,"F",0.849200,0.423800
4472846738118823296,269.6601389345144,4.979537217589025,0.0246539,0.0258761,14.2545,3520.30,154,14.8945,447.364,16,13.4942,956.776,15,45.5810,156,155,0.00000,0.00000,"F",2015.50,0.267589,0.0257600,-2.55466,0.0474012,-14.4438,0.0494058,"F",0.562000,0.273000
4472830073645619712,269.7614450002092,4.842963604671400,0.0192620,0.0212197,13.2913,4110.02,140,13.8798,760.250,16,12.5738,719.978,14,113.905,140,140,0.00000,8.64845e-16,"F",2015.50,0.902090,0.0235116,2.17002,0.0404304,-9.67798,0.0411387,"F",NaN,NaN
4472835055807757440,269.5450252524438,4.823020832166002,0.103183,0.117662,12.0655,6068.23,112,12.5916,510.643,13,11.3997,903.179,14,8.01491,114,107,0.330375,34.1210,"F",2015.50,1.21257,0.133638,0.185905,0.195627,2.33151,0.172886,"F",NaN,NaN
4472818627553584640,269.5842076237922,4.633949650656197,0.0344610,0.0407238,14.8550,2190.84,103,15.1858,344.848,10,14.3466,371.126,10,27.0296,104,104,0.00000,0.00000,"F",2015.50,0.697047,0.0449892,-1.52002,0.0678127,8.81108,0.0747389,"F",0.357000,0.174000
4472832547547209472,269.4798347896333,4.715749406100719,0.0359461,0.0437066,15.1932,1532.30,111,15.6657,266.603,12,14.5703,290.095,11,18.9935,114,112,0.00000,0.00000,"F",2015.50,0.519557,0.0495862,-3.64405,0.0704164,0.205523,0.0704475,"F",NaN,NaN
4472819800084254336,269.5759813076684,4.686812897831772,0.0297167,0.0374066,14.8270,2321.37,111,15.4590,437.567,12,14.0716,436.390,13,28.3821,112,112,0.00000,0.00000,"F",2015.50,0.175187,0.0424412,-6.12025,0.0597025,-7.65300,0.0695732,"F",0.463000,0.183000
4472841618517783936,269.6223302142095,4.883708871141234,0.0405482,0.0443904,15.4965,1855.62,127,15.9247,246.335,14,14.9155,343.345,14,14.2495,129,128,0.00000,0.00000,"F",2015.50,0.535111,0.0510465,0.979632,0.0846857,-1.92782,0.0833151,"F",1.12300,0.558300
4472845088851382528,269.6200436049363,4.945795500741261,0.0389485,0.0410537,15.3647,2052.06,139,15.7857,254.645,15,14.7820,442.434,13,15.6397,140,140,0.00000,0.00000,"F",2015.50,0.667168,0.0442700,1.27824,0.0757191,-4.29508,0.0698615,"F",0.655000,0.293000
4472836185380610688,269.3973182543044,4.773295547596076,0.0379048,0.0445425,15.3458,1911.81,129,15.9371,227.481,13,14.6181,346.021,14,16.9302,130,129,0.00000,0.00000,"F",2015.50,0.161138,0.0510128,-1.81115,0.0732107,-7.75784,0.0715577,"F",0.119000,0.0505000
4472844539095568384,269.5807606129254,4.910648820107322,0.0258929,0.0270818,13.0966,2102.38,120,13.8543,892.647,13,12.2624,1291.11,14,139.440,123,122,0.00000,0.00000,"F",2015.50,0.493006,0.0281832,-5.10161,0.0485163,-13.1522,0.0469737,"F",0.900000,0.413000
4472823579655009792,269.7572779892996,4.715138086917438,0.0469230,0.0554340,15.3849,1586.03,94,15.8261,321.756,10,14.7768,351.640,10,16.2964,94,94,0.00000,5.32574e-16,"F",2015.50,0.731433,0.0590019,11.9976,0.0855841,-1.39167,0.104525,"F",0.698000,0.342500
4472827737183401216,269.7118129724801,4.777999994672181,0.290250,0.307805,14.8443,171.655,115,15.1490,270.129,12,14.1147,252.561,12,0.241000,115,115,2.02500,440.123,"T",2015.50,-0.705080,0.350427,-2.23209,0.627093,-8.07017,0.562908,"F",NaN,NaN
4472838766659539712,269.4620644406720,4.848611983631155,0.0295787,0.0337534,14.4588,3143.67,129,15.2996,613.378,15,13.5683,924.335,13,40.4078,129,129,0.00000,9.02390e-16,"F",2015.50,0.0357619,0.0402205,0.284997,0.0568161,-2.27804,0.0523310,"F",NaN,NaN
4472846566320134272,269.6264609403550,4.956129780372097,0.0385499,0.0410635,15.2405,1671.18,143,16.0009,269.602,16,14.4027,703.730,15,18.4429,144,143,0.00000,0.00000,"F",2015.50,0.0352901,0.0436032,-3.03968,0.0722308,-1.41534,0.0682812,"F",NaN,NaN
4472831825992700288,269.4996406503067,4.715392587319385,0.0330421,0.0455366,15.0373,1973.03,117,15.4812,321.742,13,14.4469,375.837,14,22.5968,117,117,0.00000,0.00000,"F",2015.50,0.942231,0.0515674,-6.67400,0.0656229,3.68089,0.0669902,"F",0.362700,0.181300
4472827702823663616,269.7000058418717,4.768505862860602,0.0325578,0.0368853,15.0370,2185.98,127,15.6300,322.702,13,14.3087,562.243,14,22.5639,128,127,0.00000,1.81951e-15,"F",2015.50,0.133335,0.0423618,-1.70709,0.0713580,-9.17930,0.0685803,"F",0.172500,0.0785000
4472817120024197760,269.6887660404123,4.658023542424247,0.0306821,0.0483533,14.2173,3012.43,114,14.6823,354.862,12,13.5937,912.842,13,51.5951,114,114,0.00000,0.00000,"F",2015.50,1.30928,0.0560651,-15.8760,0.0571770,-9.26775,0.0600421,"F",0.725000,0.365200
4472845393791144448,269.5345022116807,4.932906907031441,0.0370235,0.0397950,15.2899,2336.77,147,15.6861,262.187,15,14.7247,338.412,15,17.1863,150,149,0.00000,0.00000,"F",2015.50,0.565212,0.0447600,2.53228,0.0717126,0.0125794,0.0677221,"F",0.697000,0.318000
4472821037034419584,269.6116986665761,4.689166806678600,0.0216219,0.0260322,13.4145,3447.26,114,14.0901,764.993,13,12.6290,1044.49,11,106.089,114,114,0.00000,0.00000,"F",2015.50,0.393270,0.0306199,-5.30995,0.0425115,4.83557,0.0468550,"F",0.535000,0.278500
4472846738118827136,269.6555498426584,4.984188732672230,0.0241972,0.0251577,14.1799,3591.45,155,14.6114,425.646,14,13.5881,834.440,15,48.4779,157,157,0.00000,0.00000,"F",2015.50,0.852468,0.0248323,5.50891,0.0466917,-1.00802,0.0487441,"F",NaN,NaN
4472827668463926400,269.6908738809900,4.762443081484061,0.0273749,0.0315143,14.5490,3043.69,132,15.1863,659.770,14,13.7796,708.126,15,36.2526,133,133,0.00000,0.00000,"F",2015.50,0.127053,0.0359848,-2.02955,0.0572549,-1.80611,0.0560093,"F",0.475000,0.208500
4472821140113634816,269.6200648277479,4.697192542787613,0.0229581,0.0284556,14.0143,3010.77,124,14.6197,917.373,14,13.2823,1034.00,13,61.0705,124,124,0.00000,0.00000,"F",2015.50,0.628339,0.0331592,4.33227,0.0460320,-7.96872,0.0515940,"F",NaN,NaN
4472859451221703296,269.1161673540564,4.771251911999800,0.0333009,0.0343064,15.0883,1964.59,138,15.8196,350.540,14,14.2679,708.011,16,20.8932,139,139,0.00000,0.00000,"F",2015.50,0.274522,0.0381774,1.08579,0.0596518,-8.48306,0.0618355,"F",NaN,NaN
4472844917052693760,269.5868484741828,4.923276297729206,0.0343751,0.0369679,13.9650,668.883,141,15.1277,167.101,14,12.8984,283.016,15,22.5725,141,141,0.167231,4.87035,"F",2015.50,0.0597805,0.0396958,-1.57607,0.0661552,-4.17697,0.0629098,"F",1.30270,0.629300
4472860928690452736,269.1334027039670,4.784770066019653,0.0399603,0.0436535,15.4379,1669.16,134,16.0688,285.697,13,14.6798,380.008,15,14.9032,134,134,0.00000,0.00000,"F",2015.50,0.370285,0.0492764,-4.55056,0.0734371,-4.09273,0.0762546,"F",NaN,NaN
4472844126778698112,269.5670527999605,4.871067469559300,0.0414956,0.0431666,15.3330,1726.44,129,15.7953,138.358,14,14.7091,338.960,14,16.9469,130,130,0.00000,0.00000,"F",2015.50,0.636498,0.0482175,-2.09875,0.0810417,-8.22203,0.0735841,"F",1.09100,0.545000
4472846566320136192,269.6247482671398,4.958315470960605,0.0317724,0.0339150,14.9029,2343.00,153,15.3715,503.016,16,14.2802,733.487,17,24.5268,157,155,0.00000,0.00000,"F",2015.50,1.06062,0.0356442,-3.00410,0.0600014,-7.19759,0.0577345,"F",0.686000,0.345500
4472845226290352256,269.5330388688432,4.910272888118965,0.0348698,0.0381485,12.5612,2901.27,149,13.3519,575.514,15,11.7111,878.623,14,251.853,150,148,0.00000,0.00000,"F",2015.50,0.270933,0.0422911,-4.64100,0.0681769,-5.66452,0.0649659,"F",0.432000,0.183500
4472821548131753088,269.6547515000498,4.714759794027913,0.0442945,0.0720533,15.4501,1356.63,105,15.8598,329.035,11,14.8747,363.409,12,13.7471,107,106,0.0955179,0.724636,"F",2015.50,0.648048,0.0865006,2.21658,0.0910765,-0.950937,0.111606,"F",0.419000,0.208000
4472841412359339392,269.6464890747947,4.874100734499339,0.0246891,0.0315760,13.5226,3645.65,119,13.9076,474.537,12,12.9769,645.607,13,94.5695,120,119,0.00000,0.00000,"F",2015.50,1.54235,0.0375040,6.42791,0.0496231,2.79090,0.0506312,"F",0.388200,0.195000
4472847425313607424,269.6212591994640,4.986518064755005,0.0298379,0.0326441,14.6788,3162.59,157,15.2117,272.675,16,14.0017,740.071,17,28.4797,157,156,0.0469523,0.292333,"F",2015.50,1.14449,0.0341032,8.98043,0.0564817,-1.89634,0.0547114,"F",0.986500,0.505000
4472841927755374976,269.7458200729848,4.867671884105587,0.0257472,0.0279110,14.4456,3188.40,139,15.1206,514.163,14,13.6633,645.272,14,38.6679,141,141,0.00000,8.61660e-16,"F",2015.50,0.394621,0.0317560,-4.45126,0.0508037,-5.53662,0.0518213,"F",NaN,NaN
4472823510935529344,269.7629490409717,4.709153199502910,0.0418597,0.0524150,15.3074,2016.33,119,15.8508,220.184,13,14.6103,350.159,14,17.2730,124,122,0.00000,0.00000,"F",2015.50,0.0633056,0.0572087,-1.70676,0.0782457,-1.79896,0.0742185,"F",0.230000,0.102000
4472860207136644864,269.2882815822480,4.787158838703749,0.0377172,0.0387542,14.9415,2382.26,103,15.3857,140.181,9,14.3350,823.888,11,24.0783,104,103,0.00000,0.00000,"F",2015.50,0.721537,0.0452841,-6.15988,0.0707352,-16.3910,0.0639815,"F",NaN,NaN
4472840209768484480,269.6514679131666,4.852120132312544,0.0359890,0.0453323,12.8310,4700.81,115,13.2106,512.908,13,12.2895,891.932,12,193.219,120,119,0.00000,0.00000,"F",2015.50,1.18136,0.0514187,3.03662,0.0741723,-4.88984,0.0738872,"F",NaN,NaN
4472819284688187648,269.4990751635307,4.646518094254867,0.0258102,0.0321630,14.0634,3283.98,115,14.4020,161.040,9,13.5496,977.692,9,55.5927,115,115,0.00000,0.00000,"F",2015.50,0.724569,0.0331711,2.27640,0.0527364,-1.28511,0.0527745,"F",1.08900,0.503000
